iter,CFL,dt_min,dt_avg,R2_rho,R2_rhou,R2_rhov,R2_rhoE,CL,CD,CM
430,7.2,2.64037e-06,0.00450226,1.94325e-05,1.1636e-05,1.24962e-05,6.12315e-05,2.39024e-15,-0.00781669,-0.000461279
440,7.2,2.63729e-06,0.00450233,1.9804e-05,1.0972e-05,1.34462e-05,6.34427e-05,3.78486e-15,0.0162438,0.000958579
450,7.2,2.64107e-06,0.00450224,1.871e-05,1.19152e-05,1.64014e-05,5.99729e-05,-2.95069e-15,0.0292058,0.0017235
460,7.2,2.64275e-06,0.00450212,2.05332e-05,1.36058e-05,1.43272e-05,6.93649e-05,4.8703e-16,0.0016015,9.45076e-05
470,7.2,2.63847e-06,0.00450215,1.89966e-05,1.76182e-05,1.9015e-05,6.45969e-05,-2.60177e-17,-0.00864393,-0.000510096
480,7.2,2.64421e-06,0.00450213,2.38966e-05,2.06494e-05,1.80341e-05,8.40271e-05,-8.49852e-16,-0.0146104,-0.000862191
490,7.2,2.6417e-06,0.00450232,2.42894e-05,2.59796e-05,2.20148e-05,8.50138e-05,-4.69744e-16,-0.0219241,-0.00129379
500,7.2,2.64869e-06,0.00450231,3.28313e-05,2.27318e-05,1.92784e-05,0.000114982,-3.05565e-15,-0.00682455,-0.000402731
510,7.2,2.64624e-06,0.00450227,3.26792e-05,2.29557e-05,2.40361e-05,0.000111042,3.11357e-15,0.00691799,0.000408245
520,7.2,2.6445e-06,0.00450228,3.26634e-05,2.27399e-05,2.3083e-05,0.00010699,3.21301e-16,0.0120149,0.000709024
530,7.2,2.64188e-06,0.00450221,3.28004e-05,2.13484e-05,1.9737e-05,0.000105599,-7.79462e-16,0.00391071,0.000230779
540,7.2,2.64538e-06,0.00450221,3.07543e-05,1.68486e-05,1.88114e-05,9.78065e-05,-1.62219e-15,0.00732188,0.00043208
550,7.2,2.64195e-06,0.00450219,3.01313e-05,1.78761e-05,1.76542e-05,9.63659e-05,-1.69828e-15,0.00544502,0.000321322
560,7.2,2.64289e-06,0.00450213,2.80951e-05,1.47531e-05,2.01417e-05,8.95242e-05,-3.20071e-15,-0.00527804,-0.000311468
570,7.2,2.64032e-06,0.00450213,2.73409e-05,1.61029e-05,1.79415e-05,8.80701e-05,1.87096e-15,-0.00722246,-0.000426212
580,7.2,2.63932e-06,0.00450218,2.56164e-05,1.8015e-05,1.6278e-05,8.32039e-05,5.36392e-16,-0.0100637,-0.000593881
590,7.2,2.64263e-06,0.00450212,2.55005e-05,1.7928e-05,1.48945e-05,8.40243e-05,6.57785e-15,-0.00266273,-0.000157134
600,7.2,2.64196e-06,0.00450225,2.54784e-05,1.72231e-05,1.73083e-05,8.11041e-05,-1.78079e-15,0.00313975,0.000185283
610,7.2,2.64255e-06,0.00450221,2.5406e-05,1.65006e-05,1.75432e-05,7.841e-05,-5.66616e-15,0.00833109,0.000491635
620,7.2,2.64459e-06,0.00450214,2.49324e-05,1.53917e-05,1.58423e-05,7.80119e-05,-7.49363e-15,0.00535905,0.000316249
630,7.2,2.64235e-06,0.00450227,2.40767e-05,1.48951e-05,1.34192e-05,7.54992e-05,-2.31005e-15,0.00375439,0.000221555
640,7.2,2.64232e-06,0.0045023,1.90756e-05,1.41307e-05,1.38268e-05,6.14644e-05,8.43152e-15,-0.000162267,-9.5757e-06
650,7.2,2.64476e-06,0.00450231,1.89243e-05,1.34978e-05,1.38845e-05,6.15091e-05,7.74276e-15,-0.00454033,-0.000267934
660,7.2,2.64306e-06,0.00450231,1.82948e-05,1.48208e-05,1.50067e-05,5.96658e-05,-7.99813e-15,-0.00741857,-0.000437786
670,7.2,2.64335e-06,0.00450228,1.75273e-05,1.54129e-05,1.59035e-05,5.67776e-05,-6.49017e-16,-0.00730934,-0.00043134
680,7.2,2.64035e-06,0.00450223,1.76457e-05,1.25025e-05,1.29076e-05,5.67881e-05,7.04492e-15,0.000764902,4.51385e-05
690,7.2,2.64538e-06,0.00450215,1.58436e-05,1.16686e-05,9.89788e-06,5.31987e-05,-4.99736e-15,0.00156567,9.23934e-05
700,7.2,2.64067e-06,0.00450214,1.30717e-05,1.21049e-05,1.1932e-05,4.23392e-05,3.62698e-15,0.00735867,0.00043425
710,7.2,2.64621e-06,0.00450219,1.39602e-05,9.03322e-06,1.20747e-05,4.61637e-05,-5.67631e-15,0.00680849,0.000401783
720,7.2,2.64453e-06,0.00450213,1.44618e-05,9.4406e-06,9.3047e-06,4.72103e-05,2.18299e-15,0.00109165,6.44203e-05
730,7.2,2.64035e-06,0.00450222,1.32398e-05,8.88482e-06,9.98533e-06,4.17038e-05,1.91034e-15,-0.000181327,-1.07005e-05
740,7.2,2.64152e-06,0.00450226,1.18598e-05,8.43275e-06,9.10716e-06,3.70547e-05,6.14659e-15,-0.00874809,-0.000516243
750,7.2,2.64239e-06,0.00450226,1.19918e-05,7.3141e-06,8.92662e-06,3.79179e-05,-5.4083e-15,-0.00580691,-0.000342678
760,7.2,2.64328e-06,0.00450222,1.21365e-05,7.50551e-06,9.19595e-06,3.93331e-05,1.32298e-15,0.0036454,0.000215123
770,7.2,2.64293e-06,0.00450217,1.16941e-05,7.8382e-06,9.05381e-06,3.86515e-05,8.72876e-15,0.00233245,0.000137643
780,7.2,2.64237e-06,0.00450215,1.08121e-05,8.5357e-06,9.16682e-06,3.63711e-05,2.1609e-15,-0.00417392,-0.000246312
790,7.2,2.64199e-06,0.0045022,1.08916e-05,8.59026e-06,7.65232e-06,3.63571e-05,-5.59577e-15,-0.00130375,-7.69372e-05
800,7.2,2.64486e-06,0.00450222,1.00567e-05,9.21801e-06,8.55012e-06,3.38684e-05,3.82567e-15,0.00323881,0.000191129
810,7.2,2.64314e-06,0.00450228,1.01824e-05,9.09199e-06,8.89176e-06,3.51346e-05,-4.78423e-15,0.00511722,0.000301978
820,7.2,2.64336e-06,0.00450224,1.06211e-05,1.01235e-05,8.02541e-06,3.64693e-05,2.8926e-15,0.000311043,1.83553e-05
830,7.2,2.64075e-06,0.00450218,1.16215e-05,1.08207e-05,8.48774e-06,4.08693e-05,2.70495e-15,-0.00710055,-0.000419018
840,7.2,2.64238e-06,0.00450226,1.30905e-05,9.95982e-06,7.82333e-06,4.57482e-05,-1.20483e-15,-0.00353044,-0.000208338
850,7.2,2.64283e-06,0.00450224,1.14244e-05,9.37568e-06,8.3278e-06,3.77559e-05,-1.02823e-16,0.00278869,0.000164566
860,7.2,2.64423e-06,0.00450222,1.13484e-05,9.31718e-06,8.0011e-06,3.75183e-05,-3.95594e-15,0.00833052,0.000491601
